society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA015code,EA015code_label,focal_year,sub_case,comment
Ag2,Mossi (Yatenga),xd255,moss1236,Mossi,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,"with special reference to Massi (Moshi) of Yatenga; (for those of Ouagadougou, see Ag47)",
Ag26,Susu,xd262,susu1250,Susu,Mande,EA015,2,"Segmented, no exogamy",1930,,
Ag27,Diula,xd263,dyul1238,Dyula,Mande,EA015,2,"Segmented, no exogamy",1910,,
Ag28,Nononke,xd264,jena1242,Jenaama Bozo,Mande,EA015,2,"Segmented, no exogamy",1930,,
Ag29,Samo,xd265,sout2844,Southern Samo,Mande,EA015,2,"Segmented, no exogamy",1910,,
Ag30,Bobo,xd267,nort2819,Northern Bobo Madaré,Mande,EA015,2,"Segmented, no exogamy",1910,,
Ag31,Minianka,xd268,mama1271,Mamara Senoufo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ag32,Senufo,xd269,ceba1235,Cebaara Senoufo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ag37,Awuna,xd274,awun1244,Awuna,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ag38,Builsa,xd275,buli1254,Buli (Ghana),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ag39,Dagara,xd276,sout2789,Central Dagaare,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ag43,Vagala,xd281,vagl1239,Vagla,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ag45,Gurma,xd283,gour1243,Gourmanchéma,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,with special reference to those in the Diapaga region,
Ag47,Mossi (Ouagadougou),xd285,moss1236,Mossi,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),
Ag49,Kabre,xd287,kabi1261,Kabiyé,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Ag52,Tem,xd291,temm1241,Tem,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ag54,Yalunka,xd293,yalu1240,Yalunka,Mande,EA015,2,"Segmented, no exogamy",1910,,
Ag6,Futajalonke,xd294,pula1262,Pular,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1890,,
Ah12,Basakomo,xd301,basa1282,Basa (Nigeria),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah14,Kamuku,xd303,cind1241,Yara,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah17,Birom,xd306,bero1242,Berom,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Ah19,Adara,xd308,kada1284,Kadara,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Ah21,Kurama,xd311,kura1249,Kurama,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah27,Zuande,xd317,bita1251,Bitare,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah30,Longuda,xd321,long1389,Longuda,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah31,Mumuye,xd322,nucl1240,Mumuye,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ah33,Yungur,xd324,bena1260,Bena (Nigeria),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah36,Gude,xd327,gude1246,Gude,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,
Ah37,Hwana,xd328,hwan1240,Hwana,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,
Ah4,Mambila,xd331,came1252,Donga Mambila,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
