uuid,offense_present
0f3beea1-66de-4c9e-80cf-6cbe04da1602,0
0f48409b-e63b-4f5b-8daf-3124af36def6,0
0f733a12-9c2e-49ad-99cd-6e082d4cfc06,0
0f927ea7-de65-45d1-a064-22ce702e3021,0
0fba8d9d-e4d9-4d18-a082-a96dbf22c4f0,0
0fbf93f1-a639-43d7-bc44-f7a32399e299,0
0fd66624-8c80-419b-816e-7e781f7a0925,0
1006a66b-0a17-42f7-956e-c11e242d8fba,0
1006e1e6-1672-49c1-a8c9-719963505594,0
1017eb27-7648-405d-b389-eb85c40fe561,0
1025b8c3-60f6-4aa2-aa60-438e9f35dde3,0
103415c3-7710-402c-83fb-71e208b9677e,0
105f2c7f-d2bc-41a4-84b8-f5ce2259c8e7,0
106e4a5d-d994-4ce1-b84f-53d764e3a750,0
10887cdc-757b-4aa6-b8f0-53c8140811c1,0
109afff4-c684-4875-b7d1-3697209ecd90,0
10ab8c15-aa73-4ac5-af07-f2c333e0e31f,0
10e8564c-3511-4d40-b242-40e10e304c8f,0
10ebbde9-aea2-40e8-b670-7751d2507883,0
10f9776c-62c4-4cb8-b21d-b9ac0cfdb808,0
1122678b-6ff4-4238-a3fd-de88180b1ac5,0
11259e63-4951-49f1-b696-1e2810a7fa9c,0
114fb498-8772-4d1d-9ddd-0c8a4381960f,0
11586470-aadf-4348-a001-68c69e799d62,0
119acda4-2fc8-479e-8197-623b3de07b3f,0
119e5e01-8272-4762-8c4f-61aa77489f83,0
11c470f9-1881-4355-9261-33e3511227ad,0
11cdb62c-a21c-4335-ad4b-33f591febf6c,0
11e28068-80c7-4053-9739-b1a13be65d55,0
11ef7571-2919-4fea-aa1d-c423258dbfb4,0
11f1f8cd-c6ed-48e1-afff-1bb632144fd8,0
11fde855-425b-4a99-95dd-d45e6b967d64,0
1225ca8e-632b-41dd-babf-a4d4f445fabb,0
12308c18-b28c-420b-bf62-7cabe6016d28,0
124ee76a-d59d-4479-9fdc-f282ba06ccfe,0
12773184-3d2e-4450-9f29-a54a4c6f071e,0
127c980a-2ba5-4e42-b2f2-4333c123bae8,0
128a8cc8-7f7c-4fa1-9ef1-9a706453a984,0
12a574e1-7d8c-424b-b335-9d79e9ddbcab,0
12e671d7-61e9-4834-b151-6515fd83c8e8,0
130254fb-53db-499c-8e23-95df9baf2059,0
130c5afd-8032-4aaa-aa20-f554def8c1ca,0
13143646-bb11-4646-8f5c-357bbd26fd8c,0
13157c51-d361-4438-a4a5-71da83d78a1c,0
13169322-a26d-46e2-89f3-df3be7c080c2,0
134bdbec-7151-49f6-ad21-1fda690599e6,0
137a01a5-0395-4815-947e-48c600c33755,0
